timestamp,position_m,x_gps,y_gps,epaisseur_mm,corrosion_pct,signal_us_db,confiance_pct,temp_eau_c,pression_bar,vitesse_cmps,frame_id,delta_epaisseur_mm,perte_pct,z_score_epaisseur,anomalie,gravite,recommandation
2024-10-14 08:32:56,90.0,2.589818,51.03477,8.68,0.0,74.8,95.4,12.9,3.18,5.1,FRM-0023,0.18,-2.1,0.65,0,OK,Aucune action requise
2024-10-14 08:33:04,94.1,2.589832,51.034781,8.48,0.0,74.6,95.0,12.3,3.29,5.1,FRM-0024,-0.02,0.2,0.44,0,OK,Aucune action requise
2024-10-14 08:33:12,98.2,2.589852,51.03479,8.44,1.2,74.8,93.0,12.1,3.19,4.9,FRM-0025,-0.06,0.7,0.4,0,OK,Aucune action requise
2024-10-14 08:33:20,102.3,2.589873,51.034796,8.45,0.0,77.2,96.6,12.3,3.28,5.2,FRM-0026,-0.05,0.6,0.41,0,OK,Aucune action requise
2024-10-14 08:33:28,106.4,2.589892,51.03481,8.58,0.0,71.2,99.0,12.5,3.14,5.1,FRM-0027,0.08,-0.9,0.55,0,OK,Aucune action requise
2024-10-14 08:33:36,110.5,2.58991,51.034816,8.1,3.2,73.5,96.5,11.9,3.23,4.8,FRM-0028,-0.4,4.7,0.04,0,OK,Aucune action requise
2024-10-14 08:33:44,114.6,2.58993,51.034823,7.87,7.6,72.6,96.1,12.6,3.22,4.8,FRM-0029,-0.63,7.4,-0.21,1,FAIBLE,Surveillance — ré-inspection dans 6 mois
2024-10-14 08:33:52,118.7,2.589948,51.034833,8.14,6.1,73.3,98.3,12.2,3.16,5.1,FRM-0030,-0.36,4.2,0.08,0,OK,Aucune action requise
2024-10-14 08:34:00,122.8,2.589969,51.034842,8.08,5.1,72.7,99.0,12.7,3.21,4.8,FRM-0031,-0.42,4.9,0.02,0,OK,Aucune action requise
2024-10-14 08:34:08,126.9,2.589984,51.034854,7.81,8.0,69.6,95.5,11.7,3.26,5.0,FRM-0032,-0.69,8.1,-0.27,1,FAIBLE,Surveillance — ré-inspection dans 6 mois
2024-10-14 08:34:16,131.0,2.590002,51.034862,7.92,7.2,73.0,98.5,12.2,3.18,5.3,FRM-0033,-0.58,6.8,-0.15,1,FAIBLE,Surveillance — ré-inspection dans 6 mois
2024-10-14 08:34:24,135.1,2.590023,51.034871,7.91,8.5,74.6,95.6,11.9,3.12,4.7,FRM-0034,-0.59,6.9,-0.16,1,FAIBLE,Surveillance — ré-inspection dans 6 mois
2024-10-14 08:34:32,139.1,2.590038,51.034883,7.78,8.7,69.7,93.7,12.2,3.2,4.7,FRM-0035,-0.72,8.5,-0.3,1,FAIBLE,Surveillance — ré-inspection dans 6 mois
2024-10-14 08:34:40,143.2,2.59006,51.034891,8.15,3.6,75.0,95.7,12.5,3.15,5.3,FRM-0036,-0.35,4.1,0.09,0,OK,Aucune action requise
2024-10-14 08:34:48,147.3,2.590078,51.0349,7.44,13.8,69.7,90.9,12.3,3.18,5.1,FRM-0037,-1.06,12.5,-0.66,1,FAIBLE,Surveillance — ré-inspection dans 6 mois
2024-10-14 08:34:56,151.4,2.590096,51.03491,8.37,2.0,74.2,95.6,12.3,3.2,4.8,FRM-0038,-0.13,1.5,0.32,0,OK,Aucune action requise
2024-10-14 08:35:04,155.5,2.590118,51.034919,8.38,3.3,72.3,96.3,12.4,3.11,5.2,FRM-0039,-0.12,1.4,0.33,0,OK,Aucune action requise
2024-10-14 08:35:12,159.6,2.590132,51.034923,8.6,0.0,74.5,99.0,12.5,3.12,5.2,FRM-0040,0.1,-1.2,0.57,0,OK,Aucune action requise
2024-10-14 08:35:20,163.7,2.590156,51.034936,8.61,0.0,77.0,99.0,12.1,3.22,5.0,FRM-0041,0.11,-1.3,0.58,0,OK,Aucune action requise
2024-10-14 08:35:28,167.8,2.59017,51.034942,8.58,0.0,75.9,95.2,12.6,3.17,5.1,FRM-0042,0.08,-0.9,0.55,0,OK,Aucune action requise
2024-10-14 08:35:36,171.9,2.590186,51.034955,8.4,3.2,76.5,97.8,12.6,3.07,4.9,FRM-0043,-0.1,1.2,0.36,0,OK,Aucune action requise
2024-10-14 08:35:44,176.0,2.590207,51.034964,8.53,1.7,76.2,95.4,12.5,3.24,4.7,FRM-0044,0.03,-0.4,0.49,0,OK,Aucune action requise
2024-10-14 08:35:52,180.1,2.590223,51.034976,8.52,0.0,75.7,98.9,12.6,3.21,5.1,FRM-0045,0.02,-0.2,0.48,0,OK,Aucune action requise
2024-10-14 08:36:00,184.2,2.590242,51.034985,8.53,0.0,77.6,97.7,12.5,3.16,4.9,FRM-0046,0.03,-0.4,0.49,0,OK,Aucune action requise
2024-10-14 08:36:08,188.3,2.590263,51.034993,8.63,0.2,75.6,94.3,13.0,3.13,5.1,FRM-0047,0.13,-1.5,0.6,0,OK,Aucune action requise
2024-10-14 08:36:16,192.3,2.590282,51.035,8.53,0.0,76.2,99.0,12.4,3.24,5.2,FRM-0048,0.03,-0.4,0.49,0,OK,Aucune action requise
2024-10-14 08:36:24,196.4,2.590298,51.035012,8.6,0.0,74.6,96.8,12.3,3.22,4.7,FRM-0049,0.1,-1.2,0.57,0,OK,Aucune action requise
2024-10-14 08:36:32,200.5,2.59032,51.035019,8.51,0.7,74.9,96.7,12.2,3.32,5.1,FRM-0050,0.01,-0.1,0.47,0,OK,Aucune action requise
2024-10-14 08:36:40,204.6,2.590339,51.035029,8.54,0.0,74.0,95.9,12.1,3.22,4.8,FRM-0051,0.04,-0.5,0.5,0,OK,Aucune action requise
2024-10-14 08:36:48,208.7,2.590358,51.03504,8.59,0.0,76.5,96.7,12.0,3.22,5.2,FRM-0052,0.09,-1.1,0.56,0,OK,Aucune action requise
2024-10-14 08:36:56,212.8,2.590374,51.035047,8.28,2.4,72.4,98.1,12.1,3.19,4.9,FRM-0053,-0.22,2.6,0.23,0,OK,Aucune action requise
2024-10-14 08:37:04,216.9,2.590395,51.035059,8.45,1.0,75.8,97.3,12.4,3.24,5.1,FRM-0054,-0.05,0.6,0.41,0,OK,Aucune action requise
2024-10-14 08:37:12,221.0,2.590407,51.035068,8.43,2.5,73.8,97.9,12.5,3.23,5.0,FRM-0055,-0.07,0.8,0.39,0,OK,Aucune action requise
2024-10-14 08:37:20,225.1,2.590428,51.035073,8.4,1.3,76.3,98.3,12.4,3.26,4.9,FRM-0056,-0.1,1.2,0.36,0,OK,Aucune action requise
2024-10-14 08:37:28,229.2,2.590446,51.035087,8.46,1.2,75.7,99.0,12.2,3.17,5.1,FRM-0057,-0.04,0.5,0.42,0,OK,Aucune action requise
2024-10-14 08:37:36,233.3,2.590466,51.035095,8.72,0.0,77.7,97.3,12.7,3.18,5.1,FRM-0058,0.22,-2.6,0.69,0,OK,Aucune action requise
2024-10-14 08:37:44,237.4,2.590483,51.035103,8.37,1.5,75.6,94.6,12.6,3.18,5.0,FRM-0059,-0.13,1.5,0.32,0,OK,Aucune action requise
2024-10-14 08:37:52,241.5,2.590502,51.035111,8.65,0.0,72.6,99.0,12.4,3.24,5.2,FRM-0060,0.15,-1.8,0.62,0,OK,Aucune action requise
2024-10-14 08:38:00,245.5,2.590525,51.03512,8.25,1.5,74.4,96.9,12.2,3.27,5.3,FRM-0061,-0.25,2.9,0.2,0,OK,Aucune action requise
2024-10-14 08:38:08,249.6,2.590539,51.03513,8.45,0.0,73.2,99.0,12.6,3.18,5.0,FRM-0062,-0.05,0.6,0.41,0,OK,Aucune action requise
2024-10-14 08:38:16,253.7,2.590559,51.035141,8.52,0.0,74.2,98.8,12.5,3.18,5.0,FRM-0063,0.02,-0.2,0.48,0,OK,Aucune action requise
2024-10-14 08:38:24,257.8,2.590576,51.035147,8.59,0.0,77.3,97.7,12.0,3.22,4.7,FRM-0064,0.09,-1.1,0.56,0,OK,Aucune action requise
2024-10-14 08:38:32,261.9,2.590595,51.035159,8.61,0.0,76.0,98.7,12.4,3.19,5.2,FRM-0065,0.11,-1.3,0.58,0,OK,Aucune action requise
2024-10-14 08:38:40,266.0,2.590614,51.035165,8.62,0.0,74.0,99.0,12.5,3.25,5.0,FRM-0066,0.12,-1.4,0.59,0,OK,Aucune action requise
2024-10-14 08:38:48,270.1,2.590633,51.035177,8.45,0.0,73.5,99.0,12.1,3.09,4.9,FRM-0067,-0.05,0.6,0.41,0,OK,Aucune action requise
2024-10-14 08:38:56,274.2,2.590653,51.035187,8.43,0.4,74.9,98.0,12.5,3.16,4.8,FRM-0068,-0.07,0.8,0.39,0,OK,Aucune action requise
2024-10-14 08:39:04,278.3,2.590672,51.0352,8.63,0.0,73.2,98.3,12.0,3.16,5.2,FRM-0069,0.13,-1.5,0.6,0,OK,Aucune action requise
2024-10-14 08:39:12,282.4,2.590688,51.035202,8.47,1.0,73.6,99.0,12.8,3.08,4.9,FRM-0070,-0.03,0.4,0.43,0,OK,Aucune action requise
2024-10-14 08:39:20,286.5,2.590707,51.035217,8.31,3.8,74.1,95.2,12.8,3.15,5.1,FRM-0071,-0.19,2.2,0.26,0,OK,Aucune action requise
2024-10-14 08:39:28,290.6,2.590722,51.035224,5.54,34.6,64.6,88.3,12.3,3.15,4.8,FRM-0072,-2.96,34.8,-2.68,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:39:36,294.7,2.590743,51.035233,5.97,28.9,65.8,89.3,12.5,3.19,5.3,FRM-0073,-2.53,29.8,-2.22,1,MODÉRÉ,Inspection complémentaire — planifier réhabilitation
2024-10-14 08:39:44,298.7,2.590763,51.035242,5.77,31.8,60.4,89.1,11.7,3.26,4.8,FRM-0074,-2.73,32.1,-2.43,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:39:52,302.8,2.590782,51.035252,6.68,21.7,67.9,89.8,12.1,3.19,4.8,FRM-0075,-1.82,21.4,-1.47,1,MODÉRÉ,Inspection complémentaire — planifier réhabilitation
2024-10-14 08:40:00,306.9,2.590799,51.03526,5.17,39.4,61.3,83.0,12.3,3.15,5.2,FRM-0076,-3.33,39.2,-3.07,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:40:08,311.0,2.590819,51.035272,5.82,30.2,65.1,84.8,12.1,3.2,5.2,FRM-0077,-2.68,31.5,-2.38,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:40:16,315.1,2.590837,51.035278,5.39,36.7,64.6,84.8,12.6,3.25,4.8,FRM-0078,-3.11,36.6,-2.84,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:40:24,319.2,2.590856,51.03529,6.65,22.0,64.2,90.5,13.0,3.15,5.0,FRM-0079,-1.85,21.8,-1.5,1,MODÉRÉ,Inspection complémentaire — planifier réhabilitation
2024-10-14 08:40:32,323.3,2.590873,51.035296,5.83,34.4,62.1,87.1,12.0,3.15,5.1,FRM-0080,-2.67,31.4,-2.37,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:40:40,327.4,2.59089,51.035306,5.93,32.5,64.5,92.1,12.1,3.23,5.2,FRM-0081,-2.57,30.2,-2.26,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:40:48,331.5,2.59091,51.035314,5.01,40.0,58.6,88.2,12.5,3.19,4.9,FRM-0082,-3.49,41.1,-3.24,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:40:56,335.6,2.590922,51.035326,5.67,32.9,65.7,86.2,12.9,3.23,5.0,FRM-0083,-2.83,33.3,-2.54,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:41:04,339.7,2.590947,51.035337,5.84,29.5,65.2,89.8,12.0,3.2,5.1,FRM-0084,-2.66,31.3,-2.36,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:41:12,343.8,2.590958,51.035343,6.07,27.9,66.5,88.8,12.5,3.24,5.1,FRM-0085,-2.43,28.6,-2.11,1,MODÉRÉ,Inspection complémentaire — planifier réhabilitation
2024-10-14 08:41:20,347.9,2.59098,51.035352,6.21,27.3,64.6,89.2,12.9,3.15,5.2,FRM-0086,-2.29,26.9,-1.97,1,MODÉRÉ,Inspection complémentaire — planifier réhabilitation
2024-10-14 08:41:28,351.9,2.591003,51.03536,5.74,33.9,64.4,88.2,11.9,3.2,5.0,FRM-0087,-2.76,32.5,-2.46,1,CRITIQUE,Intervention urgente — risque de rupture structurelle
2024-10-14 08:41:36,356.0,2.591021,51.035371,5.96,29.0,66.5,90.5,12.0,3.19,4.8,FRM-0088,-2.54,29.9,-2.23,1,MODÉRÉ,Inspection complémentaire — planifier réhabilitation
2024-10-14 08:41:44,360.1,2.591037,51.035377,8.57,0.0,75.3,97.3,12.3,3.14,5.2,FRM-0089,0.07,-0.8,0.54,0,OK,Aucune action requise
2024-10-14 08:41:52,364.2,2.591056,51.035388,8.57,0.0,75.4,99.0,12.2,3.12,5.2,FRM-0090,0.07,-0.8,0.54,0,OK,Aucune action requise
2024-10-14 08:42:00,368.3,2.591079,51.035399,8.6,0.0,75.4,95.7,12.6,3.23,5.2,FRM-0091,0.1,-1.2,0.57,0,OK,Aucune action requise
2024-10-14 08:42:08,372.4,2.591093,51.035411,8.49,0.0,73.7,98.0,12.5,3.18,4.8,FRM-0092,-0.01,0.1,0.45,0,OK,Aucune action requise
2024-10-14 08:42:16,376.5,2.591117,51.035423,8.44,0.1,74.7,99.0,11.9,3.15,4.8,FRM-0093,-0.06,0.7,0.4,0,OK,Aucune action requise
2024-10-14 08:42:24,380.6,2.591131,51.035425,8.49,0.0,74.8,98.4,12.6,3.2,5.1,FRM-0094,-0.01,0.1,0.45,0,OK,Aucune action requise
2024-10-14 08:42:32,384.7,2.591151,51.035439,8.25,2.8,74.6,99.0,12.2,3.26,4.7,FRM-0095,-0.25,2.9,0.2,0,OK,Aucune action requise
2024-10-14 08:42:40,388.8,2.591172,51.035446,8.28,0.5,76.3,98.0,12.8,3.09,5.3,FRM-0096,-0.22,2.6,0.23,0,OK,Aucune action requise
2024-10-14 08:42:48,392.9,2.591187,51.035454,8.3,0.6,73.2,99.0,12.2,3.13,4.9,FRM-0097,-0.2,2.4,0.25,0,OK,Aucune action requise
2024-10-14 08:42:56,397.0,2.591203,51.035465,8.35,4.3,73.3,96.6,12.2,3.15,5.1,FRM-0098,-0.15,1.8,0.3,0,OK,Aucune action requise
2024-10-14 08:43:04,401.1,2.591224,51.035473,8.56,0.0,77.2,97.7,12.6,3.27,5.2,FRM-0099,0.06,-0.7,0.52,0,OK,Aucune action requise
2024-10-14 08:43:12,405.2,2.591242,51.035482,8.36,0.3,73.8,96.4,12.6,3.21,4.9,FRM-0100,-0.14,1.6,0.31,0,OK,Aucune action requise
2024-10-14 08:43:20,409.2,2.591258,51.035491,8.44,2.9,72.8,98.0,12.5,3.24,4.9,FRM-0101,-0.06,0.7,0.4,0,OK,Aucune action requise
2024-10-14 08:43:28,413.3,2.591279,51.035498,8.69,1.3,74.8,95.9,11.9,3.14,5.1,FRM-0102,0.19,-2.2,0.66,0,OK,Aucune action requise
2024-10-14 08:43:36,417.4,2.591296,51.035507,8.45,0.0,76.3,99.0,12.6,3.14,5.0,FRM-0103,-0.05,0.6,0.41,0,OK,Aucune action requise
2024-10-14 08:43:44,421.5,2.591318,51.03552,8.61,0.0,75.0,99.0,12.1,3.22,4.9,FRM-0104,0.11,-1.3,0.58,0,OK,Aucune action requise
2024-10-14 08:43:52,425.6,2.591335,51.035528,8.36,2.1,76.3,98.1,12.5,3.2,5.1,FRM-0105,-0.14,1.6,0.31,0,OK,Aucune action requise
2024-10-14 08:44:00,429.7,2.591353,51.035536,8.47,2.4,75.4,96.7,12.0,3.23,5.3,FRM-0106,-0.03,0.4,0.43,0,OK,Aucune action requise
2024-10-14 08:44:08,433.8,2.591371,51.035547,8.36,0.5,76.1,98.8,12.5,3.19,5.0,FRM-0107,-0.14,1.6,0.31,0,OK,Aucune action requise
2024-10-14 08:44:16,437.9,2.591391,51.035558,8.45,0.3,75.7,97.3,12.2,3.21,4.8,FRM-0108,-0.05,0.6,0.41,0,OK,Aucune action requise
2024-10-14 08:44:24,442.0,2.59141,51.035566,8.63,0.0,78.5,99.0,12.0,3.21,4.9,FRM-0109,0.13,-1.5,0.6,0,OK,Aucune action requise
2024-10-14 08:44:32,446.1,2.591425,51.035573,8.24,3.6,73.4,93.3,12.6,3.24,4.9,FRM-0110,-0.26,3.1,0.19,0,OK,Aucune action requise
2024-10-14 08:44:40,450.2,2.591444,51.035586,8.57,0.0,72.0,97.3,12.5,3.24,4.8,FRM-0111,0.07,-0.8,0.54,0,OK,Aucune action requise
2024-10-14 08:44:48,454.3,2.591466,51.035596,8.54,0.0,77.4,94.0,12.2,3.12,4.8,FRM-0112,0.04,-0.5,0.5,0,OK,Aucune action requise
2024-10-14 08:44:56,458.4,2.591482,51.035603,8.41,0.0,74.3,95.0,12.8,3.09,5.1,FRM-0113,-0.09,1.1,0.37,0,OK,Aucune action requise
2024-10-14 08:45:04,462.4,2.591498,51.035613,8.28,2.3,74.4,99.0,12.3,3.25,4.9,FRM-0114,-0.22,2.6,0.23,0,OK,Aucune action requise
2024-10-14 08:45:12,466.5,2.59152,51.035623,8.51,0.0,77.0,99.0,12.4,3.26,5.3,FRM-0115,0.01,-0.1,0.47,0,OK,Aucune action requise
2024-10-14 08:45:20,470.6,2.591539,51.035632,8.42,1.2,72.2,96.2,12.5,3.15,4.8,FRM-0116,-0.08,0.9,0.38,0,OK,Aucune action requise
2024-10-14 08:45:28,474.7,2.591553,51.03564,8.53,0.0,73.1,95.0,12.2,3.11,4.8,FRM-0117,0.03,-0.4,0.49,0,OK,Aucune action requise
2024-10-14 08:45:36,478.8,2.591575,51.03565,8.5,0.6,72.4,91.9,12.5,3.2,5.2,FRM-0118,0.0,0.0,0.46,0,OK,Aucune action requise
2024-10-14 08:45:44,482.9,2.591595,51.035659,8.74,0.0,73.8,96.9,12.2,3.25,5.2,FRM-0119,0.24,-2.8,0.72,0,OK,Aucune action requise
2024-10-14 08:45:52,487.0,2.591613,51.035665,8.46,0.7,75.4,99.0,12.3,3.29,4.9,FRM-0120,-0.04,0.5,0.42,0,OK,Aucune action requise
